rank,artist_name,lead_streams,featured_streams,tracks,1B+,100M+,10M+,1M+,last_update
835,Alina Baraz,1351392126,27177076,76,0,3,26,63,11/24/21
836,LUDMILLA,1347598863,362133638,135,0,0,33,114,11/24/21
837,Will Smith,1346736771,29772595,86,0,4,15,45,10/27/21
838,Dadju,1342296409,415193548,90,0,1,34,89,12/02/21
839,Jack & Jack,1333223893,43745345,44,0,2,15,42,08/30/21
840,Surfaces,1332266175,0,64,0,1,16,50,09/03/21
841,TLC,1328054372,207291587,173,0,3,9,50,12/03/21
842,Jeezy,1327116650,1246803557,599,0,1,26,179,08/29/21
843,Oliver Tree,1325146275,38047893,48,0,3,25,45,11/13/21
844,Timbaland,1322725516,1814889610,164,0,4,15,61,12/10/21
845,Tori Kelly,1322151136,457938392,97,0,3,23,72,11/27/21
846,Sasha Alex Sloan,1320381690,323190663,41,0,3,28,40,12/11/21
847,Gustavo Mioto,1317266450,68520551,89,0,4,26,65,12/04/21
848,Jasmine Thompson,1317231334,0,108,0,3,35,83,11/05/20
849,Maggie Lindemann,1316666325,2328791,25,0,2,13,25,12/11/21
850,Capo Plaza,1316146114,634214397,67,0,1,37,60,12/04/21
851,Lil Xan,1315933907,15365065,76,0,3,17,57,11/23/21
852,NCT 127,1312840406,41200707,122,0,0,37,95,12/08/21
853,Spice Girls,1311825737,619669,106,0,2,11,36,12/10/21
854,Thiaguinho,1311765041,166121439,248,0,0,43,179,12/04/21
855,Cher,1308763204,12260228,397,0,2,17,67,12/07/21
856,Alvaro Soler,1307458976,26316017,90,0,2,16,60,10/09/21
857,Ella Fitzgerald,1306751857,11252389,1952,0,1,19,138,12/27/20
858,Salmo,1301786637,573557738,149,0,1,30,93,12/07/21
859,Lupe Fiasco,1296058560,223273708,168,0,3,18,118,10/27/21
860,Genesis,1295454874,658083,354,0,2,25,139,01/07/21
861,Sin Bandera,1294370986,78541133,114,0,4,21,81,02/09/21
862,Eladio Carrion,1292336279,167582058,111,0,3,28,96,11/18/21
863,Beck,1290565531,81854837,289,0,1,26,138,11/26/21
864,Mary J. Blige,1289394631,1819034323,368,0,2,26,130,10/03/21
865,Brantley Gilbert,1288253176,100016251,112,0,2,30,82,09/03/21
866,Melim,1286791870,50445393,84,0,2,31,64,12/04/21
867,Ramin Djawadi,1286775894,12413030,885,0,0,26,244,02/26/21
868,Johann Sebastian Bach,1285784532,998222,13624,0,0,13,172,12/10/21
869,Louis Armstrong,1285502051,12982577,1476,0,3,18,109,01/04/21
870,Snakehips,1284895360,87512393,64,0,3,17,45,02/27/21
871,TOMORROW X TOGETHER,1284603005,0,58,0,1,35,54,12/11/21
872,Bruno Martini,1284419429,17263864,94,0,2,15,33,10/07/21
873,Counting Crows,1282259086,4093539,192,0,3,12,68,11/24/21
874,Oliver Heldens,1281119368,0,127,0,3,26,78,11/14/20
875,The All-American Rejects,1281016068,0,86,0,4,8,61,12/11/21
876,Skepta,1280472588,1177727240,146,0,1,31,105,08/24/21
877,NEFFEX,1280094835,0,156,0,2,27,139,05/14/21
878,Deftones,1279504423,560400,139,0,2,30,118,11/11/21
879,Andrea Bocelli,1278707389,54470325,484,0,2,25,160,11/27/21
880,Dean Martin,1271240189,5961006,586,0,1,17,107,01/03/21
881,The Head And The Heart,1271155866,0,77,0,3,21,64,07/30/21
882,Mitski,1271069570,15266344,66,0,3,29,61,12/10/21
883,Benjamin Blümchen,1270296618,2187805,5668,0,0,2,41,10/09/21
884,Lykke Li,1267977654,88501825,96,0,2,24,69,09/20/21
885,MC Kevin o Chris,1265026634,308354254,170,0,3,26,91,10/30/21
886,Tinie Tempah,1264492695,429042133,127,0,3,21,63,09/03/21
887,Bunbury,1264052572,153201830,408,0,1,22,181,11/18/21
888,Chase Atlantic,1262783947,7662044,71,0,3,27,69,12/08/21
889,Los Enanitos Verdes,1260653189,5203278,180,0,3,17,85,12/02/21
890,Lil Jon,1259193098,1536589891,142,0,3,15,49,09/02/21
891,Gemitaiz,1258723714,588494136,160,0,0,34,122,12/04/21
892,Toby Keith,1257439909,18017157,292,0,3,21,84,09/02/21
893,Vince Staples,1256181440,513459766,82,0,2,26,75,10/27/21
894,Lauren Daigle,1254131254,150419068,67,0,1,32,60,09/03/21
895,ZHU,1253093333,45485295,104,0,2,30,77,09/07/21
896,Diego & Victor Hugo,1251117804,10309060,117,0,5,19,76,12/04/21
897,Pabllo Vittar,1251015215,283745265,93,0,2,31,67,12/10/21
898,Juicy J,1250538324,2951000597,334,0,2,27,85,12/30/20
899,Dynoro,1249862868,0,14,0,1,7,13,11/17/20
900,Alice In Chains,1249120364,191722,137,0,2,24,100,12/31/20
901,Chris Young,1247645486,0,92,0,3,20,68,11/14/20
902,Pixies,1246079885,449443,749,0,3,15,97,11/27/21
903,Gustavo Cerati,1244552421,161088257,160,0,1,29,103,08/31/21
904,Simone & Simaria,1244396119,211298169,114,0,4,20,76,12/04/21
905,Frenna,1244134617,321896243,145,0,0,39,108,12/06/21
906,Salaam Remi,1244052119,274416805,174,1,1,2,10,08/05/21
907,Tungevaag,1241073021,1371087,62,0,4,24,39,05/14/21
908,Los Bukis,1238840274,6645445,245,0,0,43,100,09/24/21
909,Matuê,1238573226,196793118,30,0,2,26,29,12/04/21
910,Kina,1237030469,2962492,31,0,2,9,21,05/29/21
911,Foreigner,1234280579,273983,295,0,4,11,55,11/27/21
912,Hungria Hip Hop,1233176813,69096039,63,0,1,37,59,12/04/21
913,The Score,1232564626,979362,60,0,2,25,57,10/28/21
914,RIN,1232099577,58932273,76,0,1,31,67,12/08/21
915,KC Rebell,1231160950,312127837,249,0,0,32,119,12/03/21
916,Seether,1230727184,116581,169,0,3,23,103,12/27/20
917,Max Richter,1225348164,33749,904,0,0,18,161,02/26/21
918,Ruel,1224402990,50335165,43,0,3,19,32,12/10/21
919,Showtek,1223338892,66492313,247,0,2,19,69,02/26/21
920,Craig David,1222681022,82078053,162,0,1,19,88,11/08/21
921,Cash Cash,1222618389,88365145,133,0,3,22,63,02/26/21
922,SCH,1222453727,528534836,111,0,0,42,110,12/02/21
923,Dustin Lynch,1221975887,8764477,75,0,3,15,62,11/13/21
924,Timmy Trumpet,1221086680,73893196,149,0,1,25,81,02/26/21
925,Intocable,1220814315,17782991,304,0,2,29,163,06/27/21
926,BØRNS,1218774629,16653608,44,0,2,17,40,06/24/21
927,Megadeth,1218753185,0,421,0,1,19,174,11/30/21
928,Supertramp,1218664114,30706,119,0,3,16,81,10/13/21
929,HONNE,1218435951,14439375,122,0,1,28,84,12/05/21
930,a-ha,1218091808,11723,350,0,1,10,65,01/03/21
931,A Tribe Called Quest,1217610616,2194254,172,0,1,31,108,10/25/21
932,Foals,1216570455,1312972,163,0,2,31,76,11/03/21
933,Gloria Trevi,1216203193,135420882,271,0,0,29,119,12/11/21
934,Alanis Morissette,1215339527,202357,295,0,3,16,100,11/24/21
935,Daughtry,1215090026,1852975,123,0,2,19,91,10/04/21
936,Death Cab for Cutie,1212468637,31167040,218,0,1,29,116,11/22/21
937,AWOLNATION,1212368781,24910582,116,0,1,19,68,07/10/21
938,Dominic Fike,1211886669,97477865,28,0,2,17,28,10/23/21
939,Camila,1210015690,45300205,98,0,3,20,69,02/26/21
940,Evaluna Montaner,1204717174,112346369,45,0,3,6,24,12/09/21
941,ONE OK ROCK,1204641686,1962049,116,0,0,37,107,12/01/21
942,Eurythmics,1203980927,11433188,216,0,1,11,38,12/11/21
943,Otis Redding,1202718503,96674731,273,0,2,16,85,12/17/20
944,A R I Z O N A,1202055144,70458524,61,0,2,21,48,09/10/21
945,Jacquees,1202013471,240482349,142,0,2,19,101,07/29/21
946,Petit Biscuit,1199615143,18677227,84,0,1,20,51,04/07/21
947,Pink Sweat$,1198674458,44764741,49,0,2,20,44,11/16/21
948,AURORA,1197891083,325745812,83,0,1,25,60,12/03/21
949,Ultimo,1197569139,70193309,62,0,0,32,62,12/04/21
950,Emeli Sandé,1194737638,545104417,146,0,3,18,76,02/26/21
951,Official HIGE DANdism,1191972244,87319,125,0,3,21,61,12/01/21
952,Dave Matthews Band,1191228948,12494077,976,0,1,23,151,10/27/21
953,Jake Owen,1189060122,30523629,90,0,2,16,71,09/03/21
954,Burna Boy,1188869983,1364055906,155,0,3,29,83,12/11/21
955,Wu-Tang Clan,1187400020,11075579,347,0,1,16,119,06/19/21
956,Kelsea Ballerini,1187278832,562440183,74,0,1,22,59,11/28/21
957,Missy Elliott,1183433606,1152793513,135,0,4,20,60,10/04/21
958,Junior H,1183278031,191748760,79,0,3,28,76,11/23/21
959,Hombres G,1183145643,57363159,275,0,2,15,112,11/02/21
960,Grouplove,1180340182,3672342,110,0,2,15,66,07/22/21
961,Laura Pausini,1180293317,257510365,432,0,0,23,161,12/04/21
962,Ben&Ben,1176413032,14421493,53,0,3,23,47,12/08/21
963,Canserbero,1175408543,12124328,90,0,1,30,82,11/18/21
964,Ricardo Montaner,1175168679,147732275,284,0,1,24,87,11/04/21
965,Sam Cooke,1172537664,384104,356,0,3,11,73,09/15/21
966,Brett Eldredge,1171883417,0,92,0,3,17,65,11/26/21
967,Beastie Boys,1170723253,631275,293,0,3,17,145,02/11/21
968,Talking Heads,1170559958,0,173,0,3,18,94,08/24/21
969,EDEN,1170391433,22272425,56,0,3,23,55,11/24/21
970,Tyler Childers,1170132899,20084044,61,0,2,33,57,12/01/21
971,Leonard Cohen,1169977076,2912425,379,0,0,29,181,10/29/21
972,Regard,1169696729,0,31,0,2,4,16,03/29/21
973,Lindsey Stirling,1169635748,226214184,104,0,0,42,99,12/04/21
974,Ludacris,1169259865,3205955574,204,0,0,24,107,03/30/21
975,Darius Rucker,1165685238,38686020,101,0,2,14,75,12/08/21
976,Cole Swindell,1163691710,7146457,77,0,2,19,64,10/14/21
977,The Temptations,1162727326,52421883,703,0,2,10,54,06/20/21
978,Eros Ramazzotti,1161978419,21467647,418,0,2,23,145,12/04/21
979,Banda Los Recoditos,1159835788,11518962,233,0,2,23,111,02/26/21
980,Micro TDH,1158968852,32911846,58,0,1,12,48,11/16/21
981,Grateful Dead,1157947195,0,3119,0,0,16,132,10/14/21
982,Aleman,1157713801,332240105,145,0,2,26,117,12/10/21
983,Kungs,1157042297,11911282,27,0,1,9,25,04/03/21
984,Stone Sour,1154389161,209472,137,0,3,16,102,06/28/21
985,Chicago,1149745919,4922,668,0,3,10,54,11/28/21
986,A Great Big World,1149467420,17754505,63,0,1,12,33,11/06/21
987,BIGBANG,1148192862,1054,379,0,1,21,53,12/08/21
988,Two Feet,1147628660,20047600,38,0,3,17,35,02/26/21
989,Gzuz,1147239935,1530758381,84,0,0,34,82,12/03/21
990,La Adictiva Banda San José de Mesillas,1145624117,31641132,87,0,2,23,59,02/26/21
991,beabadoobee,1145182474,4643526,52,0,1,6,35,02/26/21
992,Icona Pop,1144480058,189837410,113,0,2,16,55,05/03/21
993,Empire of the Sun,1144142649,91503429,108,0,3,10,52,06/30/21
994,Moby,1139611531,209309702,770,0,1,19,147,12/24/20
995,Nicki Nicole,1139260957,239409734,39,0,2,22,38,12/09/21
996,Santa Fe Klan,1139107691,330424178,188,0,1,30,105,11/23/21
997,MadeinTYO,1138903625,452976749,81,0,4,16,56,05/07/21
998,Famous Dex,1138688989,150148632,149,0,2,9,57,05/05/21
999,No Doubt,1138598831,273764,120,0,2,13,53,12/11/21
1000,Mc Livinho,1137463548,75678639,136,0,2,23,78,12/04/21
